AlarmName	NodeId	Severity	PlcSymbolPath	Description
TLS_M3_MAL_Alarm_000	ns=2;s=TLS_M3_MAL_Alarm[0]	Medium	GVL.TLS_M3_MAL_Alarm[0]	Alarm 000
TLS_M3_MAL_Alarm_001	ns=2;s=TLS_M3_MAL_Alarm[1]	High	GVL.TLS_M3_MAL_Alarm[1]	GR05-01 Overload, SM power supply
TLS_M3_MAL_Alarm_002	ns=2;s=TLS_M3_MAL_Alarm[2]	High	GVL.TLS_M3_MAL_Alarm[2]	GR05 circuit breaker, single-phase power supply transformer
TLS_M3_MAL_Alarm_003	ns=2;s=TLS_M3_MAL_Alarm[3]	High	GVL.TLS_M3_MAL_Alarm[3]	GR20-D1 Grid voltage, external mains power supply, SM
TLS_M3_MAL_Alarm_004	ns=2;s=TLS_M3_MAL_Alarm[4]	High	GVL.TLS_M3_MAL_Alarm[4]	GR05-D1 Grid voltage, cabinet mains power supply
TLS_M3_MAL_Alarm_005	ns=2;s=TLS_M3_MAL_Alarm[5]	Medium	GVL.TLS_M3_MAL_Alarm[5]	GR06-01 ALARM, Notice board power supply
TLS_M3_MAL_Alarm_006	ns=2;s=TLS_M3_MAL_Alarm[6]	Medium	GVL.TLS_M3_MAL_Alarm[6]	GR44-01 Overload, internal board power supply
TLS_M3_MAL_Alarm_007	ns=2;s=TLS_M3_MAL_Alarm[7]	Medium	GVL.TLS_M3_MAL_Alarm[7]	Alarm 007
TLS_M3_MAL_Alarm_008	ns=2;s=TLS_M3_MAL_Alarm[8]	Medium	GVL.TLS_M3_MAL_Alarm[8]	Alarm 008
TLS_M3_MAL_Alarm_009	ns=2;s=TLS_M3_MAL_Alarm[9]	Medium	GVL.TLS_M3_MAL_Alarm[9]	Alarm 009
TLS_M3_MAL_Alarm_010	ns=2;s=TLS_M3_MAL_Alarm[10]	Medium	GVL.TLS_M3_MAL_Alarm[10]	GR05-06 Overload, M6 lifting fan to recycled water box
TLS_M3_MAL_Alarm_011	ns=2;s=TLS_M3_MAL_Alarm[11]	Medium	GVL.TLS_M3_MAL_Alarm[11]	GR05-07 Overload, M8 Recycle pump - collapsed or battery
TLS_M3_MAL_Alarm_012	ns=2;s=TLS_M3_MAL_Alarm[12]	Medium	GVL.TLS_M3_MAL_Alarm[12]	GR05-08 Overload, M8 recycled water supply pump
TLS_M3_MAL_Alarm_013	ns=2;s=TLS_M3_MAL_Alarm[13]	Medium	GVL.TLS_M3_MAL_Alarm[13]	Alarm 013
TLS_M3_MAL_Alarm_014	ns=2;s=TLS_M3_MAL_Alarm[14]	Medium	GVL.TLS_M3_MAL_Alarm[14]	GR05-04 Overload FM8 D1 M4P
TLS_M3_MAL_Alarm_015	ns=2;s=TLS_M3_MAL_Alarm[15]	Medium	GVL.TLS_M3_MAL_Alarm[15]	Alarm 015
TLS_M3_MAL_Alarm_016	ns=2;s=TLS_M3_MAL_Alarm[16]	Medium	GVL.TLS_M3_MAL_Alarm[16]	Alarm 016
