VariableName	NodeId	DataType	AccessMode	PlcSymbolPath	Description	UpdateRateMs	Unit
TLS_M3_MAL_WarningAlarm	ns=2;s=TLS_M3_MAL_WarningAlarm	Boolean	ReadWrite	GVL.TLS_M3_MAL_WarningAlarm	Washing machine warning alarm (1=Alarm ON)	1000	
TLS_M3_MAL_OutOfService	ns=2;s=TLS_M3_MAL_OutOfService	Boolean	ReadWrite	GVL.TLS_M3_MAL_OutOfService	Machine out of service	1000	
TLS_M3_MAL_RemoteMode	ns=2;s=TLS_M3_MAL_RemoteMode	Boolean	ReadWrite	GVL.TLS_M3_MAL_RemoteMode	Remote mode active	1000	
TLS_M3_MAL_AutomaticMode	ns=2;s=TLS_M3_MAL_AutomaticMode	Boolean	ReadWrite	GVL.TLS_M3_MAL_AutomaticMode	Automatic mode active	1000	
TLS_M3_MAL_MaintenanceMode	ns=2;s=TLS_M3_MAL_MaintenanceMode	Boolean	ReadWrite	GVL.TLS_M3_MAL_MaintenanceMode	Maintenance mode active	1000	
TLS_M3_MAL_WashingPlantReady	ns=2;s=TLS_M3_MAL_WashingPlantReady	Boolean	ReadWrite	GVL.TLS_M3_MAL_WashingPlantReady	Washing plant ready	1000	
TLS_M3_MAL_TrainBerthedFront	ns=2;s=TLS_M3_MAL_TrainBerthedFront	Boolean	ReadWrite	GVL.TLS_M3_MAL_TrainBerthedFront	Train berthed at front position	1000	
TLS_M3_MAL_TrainBerthedRear	ns=2;s=TLS_M3_MAL_TrainBerthedRear	Boolean	ReadWrite	GVL.TLS_M3_MAL_TrainBerthedRear	Train berthed at rear position	1000	
TLS_M3_MAL_WashInProgress	ns=2;s=TLS_M3_MAL_WashInProgress	Boolean	ReadWrite	GVL.TLS_M3_MAL_WashInProgress	Wash cycle in progress	1000	
TLS_M3_MAL_FrontWashEnd	ns=2;s=TLS_M3_MAL_FrontWashEnd	Boolean	ReadWrite	GVL.TLS_M3_MAL_FrontWashEnd	Front wash completed	1000	
TLS_M3_MAL_RearWashEnd	ns=2;s=TLS_M3_MAL_RearWashEnd	Boolean	ReadWrite	GVL.TLS_M3_MAL_RearWashEnd	Rear wash completed	1000	
TLS_M3_MAL_WashCycleEnd	ns=2;s=TLS_M3_MAL_WashCycleEnd	Boolean	ReadWrite	GVL.TLS_M3_MAL_WashCycleEnd	Complete wash cycle ended	1000	
TLS_M3_MAL_TrainInside	ns=2;s=TLS_M3_MAL_TrainInside	Boolean	ReadWrite	GVL.TLS_M3_MAL_TrainInside	Train inside washing area	1000	
TLS_M3_MAL_StartWash	ns=2;s=TLS_M3_MAL_StartWash	Boolean	ReadWrite	GVL.TLS_M3_MAL_StartWash	Start wash signal	1000	
TLS_M3_MAL_CancelWash	ns=2;s=TLS_M3_MAL_CancelWash	Boolean	ReadWrite	GVL.TLS_M3_MAL_CancelWash	Cancel wash signal	1000	
TLS_M3_MAL_WashType	ns=2;s=TLS_M3_MAL_WashType	Int16	ReadWrite	GVL.TLS_M3_MAL_WashType	Wash type selection	1000	
TLS_M3_MAL_Command_TrainBerthedFront	ns=2;s=TLS_M3_MAL_Command_TrainBerthedFront	Boolean	ReadOnly	GVL.TLS_M3_MAL_Command_TrainBerthedFront	Command feedback: train berthed front	500	
TLS_M3_MAL_Command_TrainBerthedRear	ns=2;s=TLS_M3_MAL_Command_TrainBerthedRear	Boolean	ReadOnly	GVL.TLS_M3_MAL_Command_TrainBerthedRear	Command feedback: train berthed rear	500	
TLS_M3_MAL_Command_StartWash	ns=2;s=TLS_M3_MAL_Command_StartWash	Boolean	ReadOnly	GVL.TLS_M3_MAL_Command_StartWash	Command feedback: start wash	500	
TLS_M3_MAL_Command_CancelWash	ns=2;s=TLS_M3_MAL_Command_CancelWash	Boolean	ReadOnly	GVL.TLS_M3_MAL_Command_CancelWash	Command feedback: cancel wash	500	
TLS_M3_MAL_Command_WashType	ns=2;s=TLS_M3_MAL_Command_WashType	Int16	ReadOnly	GVL.TLS_M3_MAL_Command_WashType	Command feedback: wash type	500	
TLS_M3_MAL_TWPWatchDog	ns=2;s=TLS_M3_MAL_TWPWatchDog	UInt16	ReadWrite	GVL.TLS_M3_MAL_TWPWatchDog	TWP watchdog counter	1000	
TLS_M3_MAL_SCADAWatchDog	ns=2;s=TLS_M3_MAL_SCADAWatchDog	UInt16	ReadOnly	GVL.TLS_M3_MAL_SCADAWatchDog	SCADA watchdog counter	1000	
